Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
16 1 -6.9792466 0.0 -38.0141 7.53783 -40.6326 268.591 -2156.0 266.822 -2172.33 0.0 266.822 -2172.33 92.0614 -38.0141 -1851.4607 45.6167 45.6167
16 2 -6.9792466 0.0 -38.0141 7.53783 -40.6326 268.591 -2156.0 266.822 -2172.33 0.0 266.822 -2172.33 92.0614 -38.0141 -1851.4607 45.6167 45.6167
16 3 -6.9792466 0.0 -38.0141 7.53783 -40.6326 268.591 -2156.0 266.822 -2172.33 0.0 266.822 -2172.33 92.0614 -38.0141 -1851.4607 45.6167 45.6167
16 4 -6.9792466 0.0 -38.0141 7.53783 -40.6326 268.591 -2156.0 266.822 -2172.33 0.0 266.822 -2172.33 92.0614 -38.0141 -1851.4607 45.6167 45.6167
16 5 -6.9815316 0.0 -37.9902 7.54322 -40.6175 268.591 -2156.0 266.815 -2172.37 0.0 266.815 -2172.37 92.1029 -37.9902 -1851.4424 45.6054 45.6054
16 6 -6.97404 0.0 -37.9258 7.54614 -40.6318 268.591 -2156.0 266.817 -2172.36 0.0 266.817 -2172.36 92.0478 -37.9258 -1851.421 45.6013 45.6013
16 7 -6.97404 0.0 -37.9258 7.54614 -40.6318 268.591 -2156.0 266.817 -2172.36 0.0 266.817 -2172.36 92.0478 -37.9258 -1851.421 45.6013 45.6013
17 0 -6.260566 0.0 -21.3313 7.51453 -39.9925 268.591 -2156.0 267.624 -2187.01 0.0 267.624 -2187.01 89.4436 -21.3313 -1851.2737 50.9409 50.9409
17 1 -6.260566 0.0 -21.3313 7.51453 -39.9925 268.591 -2156.0 267.624 -2187.01 0.0 267.624 -2187.01 89.4436 -21.3313 -1851.2737 50.9409 50.9409
17 2 -6.260566 0.0 -21.3313 7.51453 -39.9925 268.591 -2156.0 267.624 -2187.01 0.0 267.624 -2187.01 89.4436 -21.3313 -1851.2737 50.9409 50.9409
17 3 -6.26033 0.0 -21.3469 7.5137 -39.9768 268.591 -2156.0 267.632 -2186.98 0.0 267.632 -2186.98 89.4429 -21.3469 -1851.2521 50.9463 50.9463
